MIC,Investment Code,ISIN,Currency,Investment Name,Investment Type,Exchange,Comment,Issued Shares,Start trading date
XBSE,CCOM,ROCCOMACNOR6,RON,Cerealcom,Equity,ROBSE,Market : XRS1,"517,938,025",22/04/2003
XBSE,CEON,ROCEONACNOR0,RON,Cemacon SA,Equity,ROBSE,Market : REGS,"935,310,418",12/03/1996
XBSE,CEPO,ROCEPOACNOR5,RON,Ceprocim,Equity,ROBSE,Market : XRS1,"1,444,494",13/01/1997
XBSE,CHIA,ROCHIAACNOR2,RON,Constructii Hidrotehnice SA Iasi,Equity,ROBSE,Market : XRS1,"521,424",16/12/1996
XBSE,CMP,ROCMPSACNOR9,RON,Compa SA,Equity,ROBSE,Market : REGS,"218,821,038",06/12/1997
XBSE,CODE,RO1C3WJVLSM1,RON,Softbinator Technologies S.A.,Equity,ROBSE,Market : XRS1,"10,266,900",17/12/2021
XBSE,COMI,ROCOMIACNOR3,RON,Condmag SA,Equity,ROBSE,Market : REGS,"381,335,751",11/09/1996
XBSE,CONK,ROCONKACNOR7,RON,Concas,Equity,ROBSE,Market : XRS1,"713,353",16/12/1996
XBSE,COTE,ROCOTEACNOR7,RON,Conpet SA,Equity,ROBSE,Market : REGS,"8,657,528",08/04/2004
XBSE,COTN,ROCOTNACNOR8,RON,Comrep Ploiesti,Equity,ROBSE,Market : XRS1,"702,105",13/01/1997
XBSE,CRC,ROCHOBACNOR8,RON,Chimcomplex S.A. Borzesti,Equity,ROBSE,Market : REGS,"304,907,851",25/11/1996
XBSE,DIGI,NL0012294474,RON,Digi Communications N.V.,Equity,ROBSE,Market : REGS,"100,000,000",16/05/2017
XBSE,DN,RO87WII43RS1,RON,DN Agrar Group,Equity,ROBSE,Market : XRS1,"159,094,224",02/02/2022
XBSE,EFO,ROEFRIACNOR6,RON,"Turism, Hoteluri, Restaurante Marea Neagra S.A.",Equity,ROBSE,Market : REGS,"576,008,487",15/08/2002
XBSE,EL,ROELECACNOR5,RON,Societatea Energetica Electrica SA,Equity,ROBSE,Market : REGS,"346,443,597",07/04/2014
XBSE,ELMA,ROELMAACNOR2,RON,Electromagnetica SA,Equity,ROBSE,Market : REGS,"676,038,704",11/08/1996
XBSE,EMAI,ROEMAIACNOR8,RON,Emailul,Equity,ROBSE,Market : XRS1,"2,522,118",06/09/1997
XBSE,EVER,ROSIFBACNOR0,RON,Evergent Investments S.A.,Equity,ROBSE,Market : REGS,"961,753,592",11/01/1999
XBSE,FP,ROFPTAACNOR5,RON,SC Fondul Proprietatea SA,Equity,ROBSE,Market : REGS,"6,217,825,213",25/01/2011
XBSE,FRB,ROAYEN5H8FS2,RON,Firebyte Games S.A.,Equity,ROBSE,Market : XRS1,"44,022,284",04/06/2021
XBSE,HAI,RO5RYSUM9FJ2,RON,Holde Agri Invest SA,Equity,ROBSE,Market : XRS1,"102,130,890",10/01/2020
XBSE,HUNT,RODHRTKI5XP6,RON,Ihunt Technology Import Export SA,Equity,ROBSE,Market : XRS1,"75,200,000",07/09/2019
XBSE,IMP,ROIMPCACNOR0,RON,Impact Developer & Contractor.,Equity,ROBSE,Market : REGS,"2,365,679,951",06/07/1996
XBSE,INOX,ROINOXACNOR7,RON,Inox,Equity,ROBSE,Market : XRS1,"4,393,620",22/02/1997
XBSE,IPRU,ROIPRUACNOR1,RON,Iproeb Bistrita,Equity,ROBSE,Market : XRS1,"125,240,737",03/11/1997
XBSE,LIH,ROLIHCACNOR9,RON,Life Is Hard SA,Equity,ROBSE,Market : XRS1,"21,509,206",12/08/2015
XBSE,M,ROMEDLACNOR6,RON,Med Life SA,Equity,ROBSE,Market : REGS,"132,870,492",21/12/2016
XBSE,MALI,ROMALIACNOR3,RON,Comalim Arad,Equity,ROBSE,Market : XRS1,"1,260,182",06/09/1997
XBSE,MAMA,ROMAMAACNOR8,RON,Magazin Universal Maramures,Equity,ROBSE,Market : XRS1,"153,908,692",23/06/1997
XBSE,MCAB,ROMCABACNOR7,RON,Romcab SA,Equity,ROBSE,Market : REGS,"1,014,651,650",06/09/1997
XBSE,MECE,ROMECEACNOR3,RON,Mecanica Fina,Equity,ROBSE,Market : REGS,"3,705,956",15/01/1997
XBSE,MESA,ROMESAACNOR7,RON,Metalul Mesa,Equity,ROBSE,Market : XRS1,"5,140,777",28/11/1996
XBSE,MET,ROX9GQFJ81G8,RON,Meta Estate Trust S.A.,Equity,ROBSE,Market : XRS1,"87,035,241",29/08/2022
XBSE,MILK,RO0V4UCPBC71,RON,Agroserv Mariuta S.A.,Equity,ROBSE,Market : XRS1,"10,386,120",21/05/2021
XBSE,NRF,ROHQGW108MX2,RON,Norofert SA,Equity,ROBSE,Market : XRS1,"17,147,880",03/03/2020
XBSE,NTEX,RONTEXACNOR5,RON,Napotex,Equity,ROBSE,Market : XRS1,"445,152",24/12/1996
XBSE,OIL,ROOILTACNOR9,RON,Oil Terminal Constanta,Equity,ROBSE,Market : REGS,"2,997,177,132",02/09/1998
XBSE,ONE,ROJ8YZPDHWW8,RON,One United Properties SA,Equity,ROBSE,Market : REGS,"3,702,818,586",07/12/2021
XBSE,PBK,ROBACRACNOR6,RON,Patria Bank SA,Equity,ROBSE,Market : REGS,"3,278,814,376",06/09/2004
XBSE,PREB,ROPREBACNOR0,RON,Prebet,Equity,ROBSE,Market : REGS,"45,553,043",25/11/1996
XBSE,PRSN,ROPRSNACNOR5,RON,Prospectiuni,Equity,ROBSE,Market : XRS1,"718,048,725",27/11/1997
XBSE,PTR,ROPESAACNOR0,RON,Rompetrol Well Services,Equity,ROBSE,Market : REGS,"278,190,900",18/06/1998
XBSE,REFE,ROREFEACNOR5,RON,Remarul 16 Februarie,Equity,ROBSE,Market : XRS1,"2,045,203",20/12/1996
XBSE,REIT,RON95JJEDCB1,RON,Star Residence Invest SA,Equity,ROBSE,Market : XRS1,"76,556,472",19/03/2021
XBSE,RMAH,RORMAHACNOR2,RON,Farmaceutica Remedia S.A.,Equity,ROBSE,Market : REGS,"95,480,820",12/05/1996
XBSE,ROC1,RO9FY9SRFU46,RON,Roca Industry Holdingrock1 S.A,Equity,ROBSE,Market : XRS1,"17,694,573",27/01/2022
XBSE,ROCE,ROROCEACNOR1,RON,Romcarbon,Equity,ROBSE,Market : REGS,"264,122,096",27/02/1997
XBSE,SAFE,RO0MDTLNZV25,RON,Safetech Innovations SA,Equity,ROBSE,Market : REGS,"66,500,000",29/01/2021
XBSE,SEOM,ROSEOMACNOR8,RON,Semrom Muntenia,Equity,ROBSE,Market : XRS1,"13,509,092",13/11/1996
XBSE,SFG,ROSFGPACNOR4,RON,Sphera Franchise Group,Equity,ROBSE,Market : REGS,"38,799,340",11/09/2017
XBSE,SIF4,ROSIFDACNOR6,RON,Sif Muntenia,Equity,ROBSE,Market : REGS,"784,645,201",11/01/1999
XBSE,SIF5,ROSIFEACNOR4,RON,Sif Oltenia,Equity,ROBSE,Market : REGS,"500,000,000",11/01/1999
XBSE,SINA,ROSINAACNOR6,RON,Sinatex,Equity,ROBSE,Market : XRS1,"504,283",03/03/1997
XBSE,SMTL,RONLG8JKKYH3,RON,Simtel Team S.A.,Equity,ROBSE,Market : XRS1,"7,861,630",07/01/2021
XBSE,SNG,ROSNGNACNOR3,RON,SNGN Romgaz SA,Equity,ROBSE,Market : REGS,"385,422,400",11/12/2013
XBSE,SNN,ROSNNEACNOR8,RON,S.N. Nuclearelectrica S.A.,Equity,ROBSE,Market : REGS,"301,643,894",11/04/2013
XBSE,SNO,ROSAUVACNOR4,RON,Santierul Naval Orsova,Equity,ROBSE,Market : REGS,"11,422,919",06/09/1998
XBSE,SNP,ROSNPPACNOR9,RON,OMV Petrom SA,Equity,ROBSE,Market : REGS,"62,311,667,058",09/03/2001
XBSE,SOCP,ROSOCPACNOR5,RON,Socep Constanta,Equity,ROBSE,Market : REGS,"346,222,758",12/06/1996
XBSE,SPX,ROKK42RQ8EU3,RON,Sipex Company S.A.,Equity,ROBSE,Market : XRS1,"399,893,481",06/03/2022
XBSE,TBM,ROTBMBACNOR9,RON,Turbomecanica Bucuresti,Equity,ROBSE,Market : REGS,"369,442,475",10/07/1998
XBSE,TEL,ROTSELACNOR9,RON,CNTEE Transelectrica,Equity,ROBSE,Market : REGS,"73,303,142",29/08/2006
XBSE,TGN,ROTGNTACNOR8,RON,S.N.T.G.N.Transgaz S.A.,Equity,ROBSE,Market : REGS,"188,381,504",24/01/2008
XBSE,TLV,ROTLVAACNOR1,RON,Banca Transilvania,Equity,ROBSE,Market : REGS,"707,658,233",15/10/1997
XBSE,TRANSI,ROSIFCACNOR8,RON,Transilvania Investments Alliance S.A.,Equity,ROBSE,Market : REGS,"2,162,443,797",11/01/1999
XBSE,TRP,ROTRPLACNOR7,RON,Teraplast Sa,Equity,ROBSE,Market : REGS,"2,179,000,358",07/02/2008
XBSE,TTS,ROYCRRK66RD8,RON,Transport Trade Services,Equity,ROBSE,Market : REGS,"60,000,000",14/06/2021
XBSE,UARG,ROUARGACNOR7,RON,Argus SA Constanta,Equity,ROBSE,Market : XRS1,"35,780,466",15/11/2002
XBSE,UNISEM,ROUNIEACNOR4,RON,Unisem,Equity,ROBSE,Market : XRS1,"78,926,129",14/05/1997
XBSE,VAC,ROPROCACNOR7,RON,Prodvinalco Cluj Napoca,Equity,ROBSE,Market : XRS1,"31,495,034",04/08/1997
XBSE,VNC,ROVRJUACNOR7,RON,Vrancart SA.,Equity,ROBSE,Market : REGS,"1,203,385,514",15/07/2005
XBSE,WINE,CY0107600716,RON,Purcari Wineries Public Company Limited.,Equity,ROBSE,Market : REGS,"40,117,500",15/02/2018
XBSE,BET-RON,,RON, Bucharest Exchange Trading Index,Index,ROBSE,,,
XBSE,BET-TRN LEI,,RON, Bucharest Exchange Net Total Return Index,Index,ROBSE,,,
